GENESIS-Tabelle: 46251-0006
Kraftfahrzeugbestand: Kreise, Stichtag, Kraftfahrzeugarten;;;;;;;;;;;;;;;;;;;;;
Statistik des Kraftfahrzeug- und Anhängerbestandes;;;;;;;;;;;;;;;;;;;;;
Kraftfahrzeugbestand (Anzahl);;;;;;;;;;;;;;;;;;;;;
;;;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten
;;;Kfz insgesamt;Krafträder insgesamt;Leichtkrafträder;Motorräder;Pkw insgesamt;Pkw mit Ottomotor;Pkw mit Dieselmotor;Kraftomnibusse insgesamt;Lkw insgesamt;Lkw mit Spezialaufbau;Zugmaschinen insgesamt;Gewöhnliche Zugmaschinen;Sattelzugmaschinen;Ackerschlepper;Übrige Kfz;Wohnmobile;Kfz-Anhänger insgesamt;Kfz-Anhänger zur Lastenbeförderung;Sattelanhänger
01.01.2013;09775;Neu-Ulm, Landkreis;117934;10495;-;10155;96486;66398;29200;146;4827;256;5492;-;487;5005;488;963;16614;12608;711
01.01.2013;09776;Lindau (Bodensee), Landkreis;60279;6876;-;6710;46353;31921;14072;61;2319;105;4417;-;69;4348;253;673;7699;5606;93
01.01.2013;09777;Ostallgäu, Landkreis;108616;10601;-;10034;79175;52191;25885;48;4165;250;14137;-;382;13755;490;1177;18053;13792;651
01.01.2013;09778;Unterallgäu, Landkreis;114208;10798;-;10221;84171;56014;27311;143;4323;187;14186;-;282;13904;587;672;18762;15132;432
01.01.2013;09779;Donau-Ries, Landkreis;108111;9157;-;8692;80914;53769;26304;114;4404;206;12907;-;422;12485;615;604;19107;15555;727
01.01.2013;09780;Oberallgäu, Landkreis;118309;12783;-;12322;89419;59565;29067;225;4548;212;10769;-;169;10600;565;1326;17143;12957;229
01.01.2013;10041;Regionalverband Saarbrücken, Landkreis;211963;16581;-;16096;181214;129727;49950;569;10573;336;2021;-;436;1585;1005;1136;19655;14526;693
01.01.2013;10042;Merzig-Wadern, Landkreis;79603;6459;-;6133;65224;42739;22030;209;3253;105;4089;-;273;3816;369;429;11643;9251;468
01.01.2013;10043;Neunkirchen, Landkreis;95402;7761;-;7457;81325;60028;20605;120;4241;119;1634;-;168;1466;321;497;12753;9760;279
01.01.2013;10044;Saarlouis, Landkreis;144817;11618;-;11149;123210;88432;34034;194;5959;341;3233;-;386;2847;603;792;17302;13532;605
01.01.2013;10045;Saarpfalz-Kreis;107779;8194;-;7930;91578;65758;25048;100;4776;198;2667;-;466;2201;464;698;14454;10995;696
01.01.2013;10046;Sankt Wendel, Landkreis;69214;6270;-;6016;56958;39655;16724;63;2473;77;3138;-;165;2973;312;375;10780;8714;279
01.01.2013;11000;Berlin, kreisfreie Stadt;1344876;98837;-;97054;1149520;879752;248543;2133;81085;2042;5254;-;3363;1891;8047;8407;79798;51318;2190
01.01.2013;12051;Brandenburg an der Havel, kreisfreie Stadt;37770;1957;-;1898;32760;25715;6625;40;2518;69;299;-;141;158;196;153;5135;3710;248
01.01.2013;12052;Cottbus, kreisfreie Stadt;54293;2633;-;2547;47355;37188;9580;100;3316;122;555;-;203;352;334;146;6547;5155;234
01.01.2013;12053;Frankfurt (Oder), kreisfreie Stadt;32844;1640;-;1590;27995;22601;4897;38;2623;72;360;-;96;264;188;87;3246;2486;103
01.01.2013;12054;Potsdam, kreisfreie Stadt;76378;4299;-;4228;66779;49494;16163;322;4182;210;440;-;190;250;356;372;9753;7700;3803
01.01.2013;12060;Barnim, Landkreis;113816;8710;-;8442;94381;72902;19805;175;8103;183;1842;-;362;1480;605;608;18725;14788;399
01.01.2013;12061;Dahme-Spreewald, Landkreis;112540;7673;-;7419;91918;68300;21635;188;8611;173;3359;-;597;2762;791;522;21592;17437;634
01.01.2013;12062;Elbe-Elster, Landkreis;78018;4776;-;4528;63204;48084;14269;139;5343;117;3950;-;312;3638;606;193;15572;13173;427
01.01.2013;12063;Havelland, Landkreis;100984;7697;-;7493;83292;62840;18991;43;7348;240;1970;-;315;1655;634;517;17342;13224;344
01.01.2013;12064;Märkisch-Oderland, Landkreis;128401;9352;-;9057;105841;81923;22061;125;9105;227;3038;-;406;2632;940;527;21415;17130;639
01.01.2013;12065;Oberhavel, Landkreis;132607;10066;-;9774;109802;83706;24174;126;9552;353;2377;-;603;1774;684;674;21920;16973;761
01.01.2013;12066;Oberspreewald-Lausitz, Landkreis;78268;4504;-;4345;65558;49618;14976;108;5065;168;2438;-;356;2082;595;222;14728;12190;474
01.01.2013;12067;Oder-Spree, Landkreis;121463;7620;-;7334;101318;77593;22040;136;8648;225;2951;-;376;2575;790;552;20767;16151;633
01.01.2013;12068;Ostprignitz-Ruppin, Landkreis;69022;4342;-;4159;55526;40929;13720;123;5528;191;2851;-;276;2575;652;280;16693;12965;365
01.01.2013;12069;Potsdam-Mittelmark, Landkreis;141535;9797;-;9465;116244;84089;30194;172;10494;322;3847;-;348;3499;981;699;22859;17713;460
01.01.2013;12070;Prignitz, Landkreis;55870;3078;-;2917;44393;33226;10577;94;4484;138;3264;-;274;2990;557;249;12792;10113;322
01.01.2013;12071;Spree-Neiße, Landkreis;86344;5252;-;5026;71102;55488;14777;94;6238;223;2927;-;433;2494;731;217;17409;14659;554
01.01.2013;12072;Teltow-Fläming, Landkreis;113519;8441;-;8172;92207;67603;22881;158;8729;319;3031;-;801;2230;953;472;18657;15311;1115
01.01.2013;12073;Uckermark, Landkreis;82464;4989;-;4785;67416;53081;13527;164;5542;141;3610;-;454;3156;743;240;15968;12833;533
01.01.2013;13001;Greifswald, kreisfreie Stadt (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;13002;Neubrandenburg, kreisfreie Stadt (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;13003;Rostock, kreisfreie Stadt;90123;4138;-;4039;79705;60263;18251;106;4996;123;783;-;538;245;395;454;11969;8415;4717
01.01.2013;13004;Schwerin, kreisfreie Stadt;47154;1837;-;1781;41411;30387;10345;122;2944;55;288;-;141;147;552;271;4732;2925;135
01.01.2013;13005;Stralsund, kreisfreie Stadt (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;13006;Wismar, kreisfreie Stadt (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;13051;Bad Doberan, Landkreis (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;13052;Demmin, Landkreis (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;13053;Güstrow, Landkreis (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;13054;Ludwigslust, Landkreis (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;13055;Mecklenburg-Strelitz, Landkreis (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;13056;Müritz, Landkreis (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;13057;Nordvorpommern, Landkreis (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;13058;Nordwestmecklenburg, Landkreis (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;13059;Ostvorpommern, Landkreis (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;13060;Parchim, Landkreis (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;13061;Rügen, Landkreis (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;13062;Uecker-Randow, Landkreis (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;13071;Mecklenburgische Seenplatte, Landkreis;171707;10398;-;9972;140238;102750;35964;285;13582;576;5947;-;1150;4797;1257;618;33378;25567;1534
01.01.2013;13072;Rostock, Landkreis;143669;8755;-;8430;117189;83132;32439;215;11282;223;5134;-;1046;4088;1094;567;26274;20388;1220
01.01.2013;13073;Vorpommern-Rügen, Landkreis;138907;7561;-;7214;115865;85743;28800;244;10239;180;3948;-;668;3280;1050;548;26674;19415;641
01.01.2013;13074;Nordwestmecklenburg, Landkreis;102381;6710;-;6485;83816;61085;21501;178;7469;229;3490;-;583;2907;718;532;17083;13014;679
01.01.2013;13075;Vorpommern-Greifswald, Landkreis;144551;8748;-;8409;120719;91872;27509;215;9478;210;4366;-;469;3897;1025;459;27549;21269;569
01.01.2013;13076;Ludwigslust-Parchim, Landkreis;150276;9273;-;8818;121774;86315;33224;220;10950;377;6966;-;1031;5935;1093;697;32716;26140;1056
01.01.2013;14161;Chemnitz, kreisfreie Stadt (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;14166;Plauen, kreisfreie Stadt (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;14167;Zwickau, kreisfreie Stadt (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;14171;Annaberg, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;14173;Chemnitzer Land, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;14177;Freiberg, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;14178;Vogtlandkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;14181;Mittlerer Erzgebirgskreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;14182;Mittweida, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;14188;Stollberg, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;14191;Aue-Schwarzenberg, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;14193;Zwickauer Land, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;14262;Dresden, kreisfreie Stadt (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;14263;Görlitz, kreisfreie Stadt (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;14264;Hoyerswerda, kreisfreie Stadt (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;14272;Bautzen, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;14280;Meißen, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;14284;Niederschlesischer Oberlausitzkreis (b.31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;14285;Riesa-Großenhain, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;14286;Löbau-Zittau, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;14287;Sächsische Schweiz, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;14290;Weißeritzkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;14292;Kamenz, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;14365;Leipzig, kreisfreie Stadt (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;14374;Delitzsch, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;14375;Döbeln, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;14379;Leipziger Land, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;14383;Muldentalkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;14389;Torgau-Oschatz, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;14511;Chemnitz, kreisfreie Stadt;138396;6985;-;6790;120514;91990;27024;121;8981;336;996;-;347;649;799;459;10824;7789;381
01.01.2013;14521;Erzgebirgskreis;243377;17497;-;16934;202041;156846;43128;399;16264;502;5929;-;747;5182;1247;568;28109;23121;905
01.01.2013;14522;Mittelsachsen, Landkreis;219350;15155;-;14694;179559;137332;39633;464;15615;607;7191;-;1198;5993;1366;619;31315;25214;1264
01.01.2013;14523;Vogtlandkreis;163082;10078;-;9721;134840;104609;28743;221;11599;476;5388;-;638;4750;956;417;21396;17624;879
01.01.2013;14524;Zwickau, Landkreis;217789;13601;-;13177;182756;142764;37636;325;15377;628;4662;-;1362;3300;1068;598;24049;19023;1743
01.01.2013;14612;Dresden, kreisfreie Stadt;243723;12638;-;12311;213041;158508;51533;498;15295;423;970;-;309;661;1281;1313;19009;13448;374
01.01.2013;14625;Bautzen, Landkreis;215068;13058;-;12560;178511;138039;38028;355;15615;439;6152;-;765;5387;1377;584;31829;26594;1060
01.01.2013;14626;Görlitz, Landkreis;169772;10334;-;9990;142563;114531;26410;284;10769;377;4734;-;627;4107;1088;477;25427;20687;788
01.01.2013;14627;Meißen, Landkreis;159537;9421;-;9089;132502;100912;29908;200;12104;501;4143;-;821;3322;1167;526;24408;20113;978
01.01.2013;14628;Sächsische Schweiz-Osterzgebirge, Landkreis;164429;11218;-;10805;136283;106591;28065;232;11578;323;4083;-;285;3798;1035;567;22825;18272;423
01.01.2013;14713;Leipzig, kreisfreie Stadt;230691;11157;-;10857;203571;157598;42717;190;13570;338;978;-;403;575;1225;796;19005;13868;389
01.01.2013;14729;Leipzig, Landkreis;176782;10998;-;10629;146525;110715;33297;263;13078;497;4862;-;1024;3838;1056;510;29246;23479;1272
01.01.2013;14730;Nordsachsen, Landkreis;136289;8420;-;8032;111459;84514;25570;233;10647;422;4472;-;945;3527;1058;367;26201;21611;1367
01.01.2013;15001;Dessau-Roßlau, kreisfreie Stadt;48049;2604;-;2530;41975;33221;8078;54;2723;88;474;-;199;275;219;147;5253;3795;237
01.01.2013;15002;Halle (Saale), kreisfreie Stadt;101578;4743;-;4596;90113;71097;17561;179;5471;112;645;-;381;264;427;258;8032;5915;452
01.01.2013;15003;Magdeburg, kreisfreie Stadt;117838;4995;-;4839;104153;80304;22536;68;7109;253;693;-;306;387;820;329;9752;6844;391
01.01.2013;15081;Altmarkkreis Salzwedel;62377;3596;-;3448;50198;36047;13514;172;4291;93;3521;-;153;3368;599;211;14042;11434;232
01.01.2013;15082;Anhalt-Bitterfeld, Landkreis;109793;6044;-;5809;92998;73395;18657;189;7169;322;2592;-;668;1924;801;224;16491;12959;800
01.01.2013;15083;Börde, Landkreis;124194;7406;-;7058;103068;77062;24569;135;8115;249;4545;-;1088;3457;925;336;20230;16341;1314
01.01.2013;15084;Burgenlandkreis;121202;7507;-;7136;100952;78283;21150;179;7851;255;3870;-;681;3189;843;228;16029;12824;862
01.01.2013;15085;Harz, Landkreis;142813;8504;-;8010;120331;90032;28501;224;9347;297;3647;-;776;2871;760;505;19532;15580;999
01.01.2013;15086;Jerichower Land, Landkreis;64976;3774;-;3625;53414;39821;12963;106;4911;165;2193;-;426;1767;578;219;11913;9425;665
01.01.2013;15087;Mansfeld-Südharz, Landkreis;97019;6326;-;5814;80702;61562;18241;146;5894;157;3247;-;372;2875;704;200;12725;10337;447
01.01.2013;15088;Saalekreis;134183;8492;-;8115;111086;84904;24487;137;9986;461;3458;-;1064;2394;1024;281;18382;14301;1253
01.01.2013;15089;Salzlandkreis;122923;7306;-;7028;104401;81508;21289;207;7362;197;2923;-;771;2152;724;226;16115;12448;912
01.01.2013;15090;Stendal, Landkreis;76946;4322;-;4077;62616;45634;16207;139;5679;232;3525;-;274;3251;665;240;15280;12229;369
01.01.2013;15091;Wittenberg, Landkreis;89809;5548;-;5331;74573;58144;15463;144;6167;186;2782;-;453;2329;595;281;17717;14634;692
01.01.2013;15101;Dessau, kreisfreie Stadt (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;15151;Anhalt-Zerbst, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;15153;Bernburg, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;15154;Bitterfeld, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;15159;Köthen, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;15171;Wittenberg, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;15202;Halle (Saale), kreisfreie Stadt (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;15256;Burgenlandkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;15260;Mansfelder Land, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;15261;Merseburg-Querfurt, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;15265;Saalkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;15266;Sangerhausen, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;15268;Weißenfels, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;15303;Magdeburg, kreisfreie Stadt (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;15352;Aschersleben-Staßfurt, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;15355;Bördekreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;15357;Halberstadt, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;15358;Jerichower Land, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;15362;Ohrekreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;15363;Stendal, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;15364;Quedlinburg, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;15367;Schönebeck, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;15369;Wernigerode, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;15370;Altmarkkreis Salzwedel (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;16051;Erfurt, kreisfreie Stadt;106057;5990;-;5791;90452;66076;23017;79;7714;280;1029;-;292;737;793;352;9414;6795;331
01.01.2013;16052;Gera, kreisfreie Stadt;51121;2460;-;2359;44863;34038;10105;77;2833;66;632;-;122;510;256;131;4404;3289;130
01.01.2013;16053;Jena, kreisfreie Stadt;48456;2680;-;2625;42682;30835;11244;51;2450;79;354;-;39;315;239;205;3642;2484;53
01.01.2013;16054;Suhl, kreisfreie Stadt;22605;1251;-;1202;19771;14446;5056;41;1221;52;197;-;8;189;124;108;2176;1657;14
01.01.2013;16055;Weimar, kreisfreie Stadt;31455;1770;-;1713;27488;20156;6889;77;1772;40;210;-;11;199;138;123;2530;1827;28
01.01.2013;16056;Eisenach, kreisfreie Stadt;24031;1400;-;1322;20556;15543;4714;94;1464;57;373;-;107;266;144;108;2465;1782;149
01.01.2013;16061;Eichsfeld, Landkreis;72555;4193;-;3791;58562;42061;15489;114;5491;226;3740;-;681;3059;455;204;10953;9060;787
01.01.2013;16062;Nordhausen, Landkreis;55825;3533;-;3325;46652;35596;10304;87;3284;99;1823;-;250;1573;446;152;8299;6535;338
01.01.2013;16063;Wartburgkreis;91981;6398;-;5910;75203;55708;18377;132;5146;158;4607;-;443;4164;495;344;13253;10806;514
01.01.2013;16064;Unstrut-Hainich-Kreis;67852;4211;-;3919;55073;40926;13160;107;5225;206;2770;-;294;2476;466;198;10385;8351;316
01.01.2013;16065;Kyffhäuserkreis;54418;3713;-;3376;44394;33964;9814;87;3119;64;2722;-;153;2569;383;112;7554;6127;193
01.01.2013;16066;Schmalkalden-Meiningen, Landkreis;90355;5603;-;5266;73955;53128;19817;155;6431;210;3671;-;321;3350;540;344;13452;11218;463
01.01.2013;16067;Gotha, Landkreis;87983;5448;-;5095;73249;55221;17015;136;6109;221;2400;-;369;2031;641;313;12122;9811;415
01.01.2013;16068;Sömmerda, Landkreis;49089;3259;-;3008;39487;29523;9461;69;3879;97;2046;-;159;1887;349;129;7482;6126;215
01.01.2013;16069;Hildburghausen, Landkreis;49464;3249;-;2995;39488;28098;10906;77;3266;121;3046;-;154;2892;338;137;9002;7740;203
01.01.2013;16070;Ilm-Kreis;70762;4838;-;4600;58389;42553;14984;91;4972;155;2042;-;247;1795;430;247;9362;7525;255
01.01.2013;16071;Weimarer Land, Landkreis;58511;3937;-;3721;46803;34625;11457;83;4893;130;2416;-;172;2244;379;175;8248;6604;222
01.01.2013;16072;Sonneberg, Landkreis;39891;2489;-;2367;33327;25763;7067;66;2342;73;1475;-;140;1335;192;74;5010;4164;130
01.01.2013;16073;Saalfeld-Rudolstadt, Landkreis;76079;5313;-;5012;61314;45745;14729;203;5118;120;3647;-;251;3396;484;253;11582;9369;319
01.01.2013;16074;Saale-Holzland-Kreis;60314;3818;-;3647;48263;35452;11969;124;4232;144;3441;-;379;3062;436;183;9214;7486;430
01.01.2013;16075;Saale-Orla-Kreis;64111;4039;-;3839;50427;36870;12817;77;4543;244;4611;-;251;4360;414;181;12863;10908;724
01.01.2013;16076;Greiz, Landkreis;75094;4823;-;4646;60389;45010;14440;115;5940;241;3294;-;369;2925;533;199;11455;9334;399
01.01.2013;16077;Altenburger Land, Landkreis;61408;3916;-;3818;51509;40829;9999;97;4055;134;1464;-;341;1123;367;123;8311;6756;381
_____
Quelle: Kraftfahrt-Bundesamt, Flensburg

Ab 1.1.2008:
ohne vorübergehend stillgelegte Fahrzeuge (etwa 12 %).
Die Werte vom 1.1.2008 sind daher mit den früheren Werten
nicht mehr vergleichbar.
_____
(C)opyright Statistisches Bundesamt, Wiesbaden 2014
Stand: 06.02.2014 - 06:11:47
