GENESIS-Tabelle: 46251-0006
Kraftfahrzeugbestand: Kreise, Stichtag, Kraftfahrzeugarten;;;;;;;;;;;;;;;;;;;;;
Statistik des Kraftfahrzeug- und Anhängerbestandes;;;;;;;;;;;;;;;;;;;;;
Kraftfahrzeugbestand (Anzahl);;;;;;;;;;;;;;;;;;;;;
;;;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten
;;;Kfz insgesamt;Krafträder insgesamt;Leichtkrafträder;Motorräder;Pkw insgesamt;Pkw mit Ottomotor;Pkw mit Dieselmotor;Kraftomnibusse insgesamt;Lkw insgesamt;Lkw mit Spezialaufbau;Zugmaschinen insgesamt;Gewöhnliche Zugmaschinen;Sattelzugmaschinen;Ackerschlepper;Übrige Kfz;Wohnmobile;Kfz-Anhänger insgesamt;Kfz-Anhänger zur Lastenbeförderung;Sattelanhänger
01.01.2013;03451;Ammerland, Landkreis;88698;6358;-;6166;70648;46713;22212;200;5406;250;5583;-;394;5189;503;883;16504;12539;561
01.01.2013;03452;Aurich, Landkreis;129283;10892;-;10539;103222;71199;28427;202;6945;186;7456;-;432;7024;566;1495;24229;18368;688
01.01.2013;03453;Cloppenburg, Landkreis;109264;6683;-;6171;84836;49325;33489;196;8009;431;8898;-;984;7914;642;554;23020;18932;1328
01.01.2013;03454;Emsland, Landkreis;219262;15193;-;14434;174539;102230;66970;379;12858;678;14919;-;1915;13004;1374;1534;49962;40833;3284
01.01.2013;03455;Friesland, Landkreis;71653;5930;-;5771;58908;40439;16522;70;3325;150;3091;-;225;2866;329;768;11648;8844;389
01.01.2013;03456;Grafschaft Bentheim, Landkreis;91578;5961;-;5747;74401;40204;30501;87;4838;192;5784;-;654;5130;507;741;17689;13589;909
01.01.2013;03457;Leer, Landkreis;111368;9013;-;8664;90578;60038;27423;182;5310;244;5803;-;440;5363;482;1233;19548;14526;600
01.01.2013;03458;Oldenburg, Landkreis;92524;7149;-;6927;74327;48864;23654;87;4503;264;5924;-;606;5318;534;938;18478;14133;871
01.01.2013;03459;Osnabrück, Landkreis;250050;17870;-;17171;203977;140326;59943;460;12003;770;14631;-;1365;13266;1109;1387;39631;30595;2073
01.01.2013;03460;Vechta, Landkreis;93773;6012;-;5669;74436;45435;27572;165;6214;490;6325;-;1581;4744;621;359;18517;15355;2701
01.01.2013;03461;Wesermarsch, Landkreis;60077;4326;-;4160;48493;32797;14097;119;2872;129;3944;-;334;3610;323;606;12589;9434;705
01.01.2013;03462;Wittmund, Landkreis;41226;3180;-;3042;32187;22301;8888;76;1924;56;3678;-;54;3624;181;369;8036;6510;80
01.01.2013;04011;Bremen, kreisfreie Stadt;261990;16791;-;16467;227738;161685;62415;344;13048;556;2660;-;1634;1026;1409;2393;26680;17041;3222
01.01.2013;04012;Bremerhaven, kreisfreie Stadt;52829;3259;-;3159;45668;33481;11385;82;3110;127;459;-;284;175;251;357;5501;3941;926
01.01.2013;05111;Düsseldorf, kreisfreie Stadt;331679;21510;-;21026;289306;181101;104123;607;15464;434;1324;-;404;920;3468;1603;15381;8784;1029
